                 res               x                y               z
            25.08760       246.59305       1266.80432     -1787.26135
            81.69098        69.84358       -177.26530     -1845.60010
            26.71796       208.28290       -883.22552     -2002.86255
            30.28013       198.22282      -1301.73572     -1981.68591
            21.53616       183.69537      -1012.39966     -1983.59937
            80.42453       176.04585        -48.74375     -1919.14648
            47.03558       217.00864      -1660.22998     -1860.29749
            43.50910        38.31006       1523.67017     -1746.87988
            62.77576       380.71936      -1652.28516     -1881.58850
           113.46745       397.27618       -209.52856     -1726.44678
            29.84814        23.83370       -757.21210     -1637.14539
             9.13951       104.62413        519.23688      -803.74762
             4.39341        29.89931       1307.92249     -1567.25842
           531.19971       346.39902       -267.33582     -2091.86279
           114.85994        46.65782         76.75911     -2058.22339
            66.48657       313.59497      -1751.03552     -1620.11267
            11.97850        87.13859        472.05603     -1759.54675
            57.85380        86.99567         23.85447     -2044.09583
            69.02287       268.83249       -682.47015     -2011.64307
            41.25701         6.12648          6.36773     -2060.48706
            31.04600         9.53173        -36.96359     -2091.77466
           103.30244       182.73587        787.39685     -1873.95447
             6.14086       357.79395        761.09937     -1112.20715
            26.80174       100.23317       -955.96698     -1984.07886
            41.96061       380.09949      -1372.59473     -1723.30078
            58.84101       186.86388       -685.15149     -2025.90869
           170.85431       135.43994       -368.73047     -1899.70898
            21.18506       208.57611      -1074.53333     -1944.49731
            30.31703       222.07047       1369.32288     -1660.74036
            17.69767       132.51175         74.41766     -1469.09668
           193.11119        64.99659        204.33514     -2029.06482
            42.04413       397.05786      -1454.99634     -1848.54187
            39.65297       305.63824       1714.89990     -1672.17236
           142.35182       185.84528        825.98157     -1874.07104
            57.35227       302.81201       1511.24609     -1724.28137
           177.00485       377.08401        315.29065     -1933.28394
           142.86757       381.64105        552.72717     -1966.64136
            53.15915        40.82579        652.07654     -1910.87537
            77.65585       130.58969        718.63129     -1920.38257
            39.11551       191.41684       -771.70398     -1955.92102
            22.09795         6.07480        305.07443     -1755.25708
           154.60838       290.67789       -574.53912     -2051.91992
            68.24017       150.88013       1590.88220     -1720.96289
           102.15473        25.93551        404.03302     -1989.41589
           100.16687         0.27559       -445.01929     -2126.76904
           176.81372       369.23700         20.68082     -2034.86353
            14.07107       321.16031        747.20746     -1599.39526
           189.21011        68.66098       -371.49167     -2098.38013
            42.75840       114.72485       1399.94116     -1747.28735
            31.75680        74.55818        852.16205     -1832.19385
            47.03558       244.56958      -1663.64966     -1757.20728
             7.69722       105.16010       1228.31250     -1687.39380
           109.68159       230.99629        766.47595     -1831.82300
            48.37422       134.67159       -641.84198     -2060.87012
           131.75195        49.26396         81.29048     -2081.05103
            12.69370       293.06055       1772.90662     -1577.74805
            28.43958        75.95240      -1108.31104     -1984.33740
            70.21516        16.11575      -1610.90759     -1391.65747
            97.47963       276.27679       -323.73010     -1751.00928
            23.79087       171.40585       1890.00659     -1640.74280
            62.61710       377.09167      -1492.38831     -1593.70068
            49.31105       377.94907      -1470.63220     -1835.13293
            23.79087       209.94273       1903.37915     -1632.12122
            28.61280       132.72893       -338.96625     -1575.16504
            77.75334       173.81494         65.85894     -2054.61963
            85.51095       222.92818         28.22166     -2090.06445
            71.58324       267.46494        561.90485     -1988.69287
            11.15098        36.83833        970.69873     -1769.12476
            52.73652        44.03259      -1403.09009     -1812.82715
             3.80250        65.85580       -813.27991      -562.04596
            22.20230        12.53119       1312.60693     -1734.98877
           310.55539       239.74428       -226.48074     -2079.93970
            41.09225       134.18710        -36.94623     -2123.48242
            67.71568       130.00131         33.89770     -2075.96973
           215.06624       279.46347        367.51398     -2070.78589
            35.91043        75.60191        444.42169     -1906.90491
           106.00355       374.65402      -1927.82996     -1253.32031
            53.13181         7.51636        -89.82764     -2084.46606
            33.55400         2.67922        587.28973     -1886.77173
            51.18611        29.35046      -1412.94019     -1856.30054
            27.53250        44.06154      -1103.49622     -1967.13940
            36.54635       223.75270        560.35608     -1857.34912
            21.53616       226.30153      -1021.13031     -1976.95630
            21.20143       172.27448      -1028.01611     -1984.68335
            14.81143        96.80315       1074.02563     -1814.72278
            27.54058        26.12077       -933.88007     -2009.72815
            49.42794       368.10733      -1552.27051     -1896.16479
            13.44216       290.65814       1610.40771     -1424.22144
           163.42703         6.40909       -332.37384     -1952.30310
            67.26830       116.18243      -1516.23438     -1421.69592
            44.43088       221.54124        133.51265     -1783.69824
            28.58153       317.78748      -1882.52319     -1798.01538
            41.06577        52.80909      -1095.68530     -1722.05713
            50.10656       303.07352      -1643.41162     -1866.95703
            69.92384         7.39680       -497.19714     -1910.13062
           171.61368       162.31917       -228.26089     -1971.18860
           183.32355        33.98406        117.25536     -2070.56958
            23.56763       234.16144      -1124.08142     -1943.73901
           405.66385       383.92450       -396.35095     -1975.15637
             3.57180       218.32066       -466.70111      -549.08252
            33.30905        86.10822      -1002.95593     -1225.38794
            24.32392       134.93159       1799.29614     -1628.43286
           101.45396       367.86011        493.43420     -1919.83948
            26.92179       179.48705       -947.41345     -1878.92346
             5.19640       341.56320       -547.46973      -610.96625
            28.71637         7.57001       1612.15540     -1638.72717
            52.67348       182.28052        573.59827     -1924.32812
           126.39774       318.93231        255.89844     -1905.34326
            53.66047         3.77442        624.02362     -1914.20886
            56.51678       354.24805      -1750.36719     -1842.38721
            28.40582       104.58804      -1012.49561     -1870.42200
            49.35552       326.53540       -814.08093     -1962.29443
            14.06577       249.67566        470.45392     -1808.61340
            57.68136       294.53247        152.00127     -1793.55908
            44.28236        86.32714        709.91278     -1862.03052
            21.12634       232.86931      -1091.22253     -1952.90918
            44.35988       133.69525       1640.48096     -1620.18176
            38.44277       365.24280      -1997.07495     -1764.08154
            48.59795       198.41214       1322.12439     -1756.29651
            69.22070       223.30037        613.15784     -1940.12402
            30.68367       213.00928       -841.82642     -1702.35181
            35.63477       107.80441       -737.45520     -2038.01245
           221.76456        25.76175       -255.37550     -2020.29346
           124.86991        60.03300       -165.54247     -2030.76367
            57.85380        72.55703         72.22000     -2076.99707
            72.99165       219.78642        553.61438     -1997.25427
            15.31509       200.96544        544.83008     -1805.45203
            47.28070        62.33931       1453.32312     -1687.76318
            45.15874       388.72488       -871.11334     -1756.94287
            20.06044        70.20949        937.63934     -1814.25586
            49.31105       328.78607      -1525.83923     -1815.37585
            37.01503       249.45016      -1298.66638     -1846.19128
           377.21832       294.79636       -194.30731     -2000.17297
            51.18611        38.62872      -1414.53809     -1911.81433
            19.06426       248.47060       1093.98804     -1677.64087
            31.74371       190.47142       -821.54913     -1779.42615
            59.67141       360.08585       -649.97888     -1929.47412
            15.11669       304.21075       1106.15356     -1601.79541
             2.04991        28.52279       1199.38013     -1300.03381
           434.61057       331.19302       -222.41574     -2072.93164
            63.04863       204.84419        514.78430     -1978.71826
            32.90413       327.10471      -1294.33228     -1723.37830
            67.26830       106.54933      -1541.71643     -1473.41394
            44.43821        84.68216        745.03815     -1882.04517
            52.90853       331.83539      -1910.16101     -1629.85999
            64.40332       151.82753         -6.29643     -2045.26245
            32.05991       229.87842       -859.70447     -1964.02625
            23.98472       154.00276       -944.07458     -1997.85107
            35.61924        81.74788        170.34842     -1743.68884
            21.53616       227.26585      -1000.37018     -1966.80896
           221.94109        66.89523        159.73714     -2083.66699
            26.72607       327.37790        172.52469     -1765.00452
             1.79279       156.31973       1989.92957     -1077.74341
            21.52048       137.54309       1382.64282     -1603.16992
           101.45396       372.60205        448.94955     -1921.95642
            40.09309       133.23335      -1370.21606     -1914.47827
            60.95720       130.34140      -1497.31506     -1581.21387
           340.86050       248.14484       -316.84677     -1984.45435
            49.63576         8.81963        -81.52142     -1828.92908
             8.49706       108.91679        807.23547     -1738.13684
            35.65759       152.43980       1414.80017     -1682.20654
            68.24017       139.83652       1626.10913     -1719.43640
            54.94825        96.34258       -575.94604     -1867.48999
            21.63439       397.34418       1124.50684     -1710.89038
            16.58419        69.68378      -1625.00757      -468.58740
             6.60371       330.41840       1234.63342      -768.10498
            16.03839        46.16846        897.34821     -1848.97998
           232.26773       347.06439        224.97076     -2001.85315
           493.27835       354.49133       -313.56219     -2081.10034
            37.58062        49.84755      -1214.34326     -1896.39880
            10.02219        19.27453        508.39493     -1637.25427
            47.57342       255.15465      -1535.96558     -1903.95068
            42.74266        37.04602      -1269.01392     -1957.29871
            39.65297       377.18536       1744.45410     -1663.43262
             2.18981       204.62032       1123.81714     -1355.94824
            72.99165       237.48987        545.69165     -1961.50476
            43.57575        28.85910      -1044.68188     -1824.57666
           410.55267       279.49216       -402.10181     -2112.40991
            40.09309        90.14542      -1308.76416     -1879.89648
